Index,DigiKey Part #,Manufacturer Part Number,Manufacturer,Description,Customer Reference,Quantity,Backorder,Unit Price,Extended Price
1,LT1113CN8#PBF-ND,LT1113CN8#PBF,Analog Devices Inc.,IC OP AMP 2CH 8-PDIP,,1,0,$12.88000,$12.88
2,505-AD797ANZ-ND,AD797ANZ,Analog Devices Inc.,IC OP AMP 1CH 8-PDIP,,1,0,$26.13000,$26.13
3,13-MFR-25FRF52-2K87CT-ND,MFR-25FRF52-2K87,YAGEO,RES 2.87K OHM 1% 1/4W AXIAL,,5,0,$0.10000,$0.50
4,357KXBK-ND,MFR-25FBF52-357K,YAGEO,RES 357K OHM 1% 1/4W AXIAL,,5,0,$0.10000,$0.50
5,15.8KXBK-ND,MFR-25FBF52-15K8,YAGEO,RES 15.8K OHM 1% 1/4W AXIAL,,5,0,$0.10000,$0.50
6,RNF14FTD301RCT-ND,RNF14FTD301R,Stackpole Electronics Inc,RES 301 OHM 1% 1/4W AXIAL,,5,0,$0.10000,$0.50
7,RNF14FTD1M50CT-ND,RNF14FTD1M50,Stackpole Electronics Inc,RES 1.5M OHM 1% 1/4W AXIAL,,5,0,$0.10000,$0.50
8,13-MFR-25FRF52-825KCT-ND,MFR-25FRF52-825K,YAGEO,RES 825K OHM 1% 1/4W AXIAL,,5,0,$0.10000,$0.50
9,37.4KXBK-ND,MFR-25FBF52-37K4,YAGEO,RES 37.4K OHM 1% 1/4W AXIAL,,5,0,$0.10000,$0.50
10,13-MFR-25FBF52-17K8-ND,MFR-25FBF52-17K8,YAGEO,RES 17.8K OHM 1% 1/4W AXIAL,,5,0,$0.11000,$0.55
11,495-1128-ND,B32520C0225J000,TDK,CAP FILM 2.2UF 5% 63VDC RADIAL,,4,0,$1.77000,$7.08
12,495-1121-ND,B32520C0105J000,TDK,CAP FILM 1UF 5% 63VDC RADIAL,,2,0,$1.19000,$2.38
13,495-1106-ND,B32529C0224J000,TDK,CAP FILM 0.22UF 5% 63VDC RADIAL,,2,0,$0.42000,$0.84
14,495-1103-ND,B32529C0104J000,TDK,CAP FILM 0.1UF 5% 63VDC RADIAL,,4,0,$0.33000,$1.32
15,495-1097-ND,B32529C0103J000,TDK,CAP FILM 10000PF 5% 63VDC RADIAL,,2,0,$0.33000,$0.66
16,399-4264-ND,C320C104K5R5TA,KEMET,CAP CER 0.1UF 50V X7R RADIAL,,10,0,$0.73800,$7.38
17,ED2609-ND,OSTTC022162,On Shore Technology Inc.,TERM BLK 2P SIDE ENT 5.08MM PCB,,4,0,$0.58000,$2.32
18,ED2610-ND,OSTTC032162,On Shore Technology Inc.,TERM BLK 3P SIDE ENT 5.08MM PCB,,3,0,$0.83000,$2.49
19,495-1097-ND,B32529C0103J000,TDK,CAP FILM 10000PF 5% 63VDC RADIAL,,2,0,$0.33000,$0.66
20,10KADCT-ND,MFP-25BRD52-10K,YAGEO,RES 10K OHM 0.1% 1/4W AXIAL,,2,0,$0.63000,$1.26
21,1712-YR1B4K99CCCT-ND,YR1B4K99CC,TE Connectivity Passive Product,RES 4.99K OHM 0.1% 1/4W AXIAL,,2,0,$1.01000,$2.02
22,A120347-ND,1-2199298-2,TE Connectivity AMP Connectors,CONN IC DIP SOCKET 8POS TIN,,2,0,$0.27000,$0.54
23,811-1448-5-ND,NMA0505SC,Murata Power Solutions Inc.,DC DC CONVERTER +/-5V 1W,,1,0,$5.76000,$5.76
24,LM4040DIZ-2.5/NOPB-ND,LM4040DIZ-2.5/NOPB,Texas Instruments,IC VREF SHUNT 1% TO92-3,,2,0,$0.67000,$1.34
,,,,,,,,Subtotal,$79.11
